Transaction Date,Post Date,Description,Category,Type,Amount,Memo
07/18/2021,07/22/2021,SAMSCLUB #8155,Health & Wellness,Return,19.38,
07/17/2021,07/18/2021,Payment Thank You-Mobile,,Payment,353.09,
07/13/2021,07/15/2021,Amazon.com*290KS67W2,Shopping,Sale,-353.09,
07/14/2021,07/14/2021,Payment Thank You-Mobile,,Payment,25.78,
07/11/2021,07/12/2021,SAMS CLUB #8155,Shopping,Sale,-32.36,
07/11/2021,07/12/2021,SAMS CLUB #8155,Gas,Sale,-27.04,
07/10/2021,07/12/2021,IRONWOOD GOLF COURSE,Entertainment,Sale,-11.00,
