Transaction Date,Post Date,Description,Category,Type,Amount,Memo
08/31/2021,09/01/2021,SQ *HYPPO LLC,Shopping,Sale,-13.91,
08/29/2021,08/30/2021,UF FLORIDA MUSEUM,Education,Sale,-27.00,
08/29/2021,08/30/2021,A1A BURRITO WORKS TACO,Food & Drink,Sale,-40.74,
08/28/2021,08/30/2021,PIT SURF SHOP,Shopping,Sale,-42.60,
08/27/2021,08/29/2021,NORTHWEST SEAFOOD AT TIOG,Groceries,Sale,-71.01,
08/28/2021,08/29/2021,SAMS CLUB #8155,Gas,Sale,-25.81,
08/28/2021,08/29/2021,ADIDAS US ONLINE STORE,Shopping,Sale,-189.96,
08/28/2021,08/29/2021,Payment Thank You-Mobile,,Payment,447.87,
08/28/2021,08/29/2021,MCDONALD'S F34967,Food & Drink,Sale,-19.12,
08/28/2021,08/29/2021,MCDONALD'S F33505,Food & Drink,Sale,-1.91,
08/26/2021,08/27/2021,CLAY ELECTRIC COOPERATIV,Bills & Utilities,Sale,-69.00,
08/25/2021,08/26/2021,SAMSCLUB #8155,Shopping,Sale,-299.69,
08/25/2021,08/25/2021,Payment Thank You-Mobile,,Payment,387.93,
08/24/2021,08/25/2021,BELLAMI HAIR LLC,Shopping,Sale,-79.18,
08/23/2021,08/24/2021,SAMS CLUB #8155,Gas,Sale,-27.84,
08/23/2021,08/24/2021,TEA BESTEA,Food & Drink,Sale,-11.98,
08/22/2021,08/23/2021,EDDIE V'S 0178512,Food & Drink,Sale,-190.00,
08/21/2021,08/23/2021,GRINDHOUSE COFFEE &amp; CAFE,Food & Drink,Sale,-7.27,
08/23/2021,08/23/2021,Payment Thank You-Mobile,,Payment,927.29,
08/22/2021,08/23/2021,MCDONALD'S F569,Food & Drink,Sale,-5.77,
08/21/2021,08/23/2021,THE MILL - ST. PETE,Food & Drink,Sale,-50.00,
08/22/2021,08/23/2021,TST* OXFORD EXCHANGE,Food & Drink,Sale,-62.00,
08/21/2021,08/23/2021,FRENCHYS ROCKAWAY GRIL,Food & Drink,Sale,-33.07,
08/20/2021,08/22/2021,NikePOS_US,Shopping,Sale,-40.71,
08/21/2021,08/22/2021,TST* CAFE TU TU TANGO,Food & Drink,Sale,-62.00,
08/20/2021,08/22/2021,SQ *SHAKE SHACK,Food & Drink,Sale,-44.34,
08/20/2021,08/22/2021,SQ *CRAFT &amp; COMMON,Food & Drink,Sale,-6.59,
08/20/2021,08/22/2021,WM SUPERCENTER #1960,Groceries,Sale,-1.96,
08/20/2021,08/22/2021,J. CREW FACTORY #077,Shopping,Sale,-128.25,
08/21/2021,08/22/2021,SAMSCLUB #6420,Gas,Sale,-27.06,
08/21/2021,08/22/2021,SQ *PARADECO COFFEE ROAST,Food & Drink,Sale,-6.15,
08/21/2021,08/22/2021,CITY OF CLEARWATER PARKI,Travel,Sale,-4.50,
08/20/2021,08/22/2021,CALVIN KLEIN #024,Shopping,Sale,-47.95,
08/21/2021,08/22/2021,ST PETE BEACH PARKING G,Bills & Utilities,Sale,-6.50,
08/20/2021,08/22/2021,VITAMIN WORLD 3991,Groceries,Sale,-30.99,
08/20/2021,08/22/2021,SQ *CRAFT &amp; COMMON,Food & Drink,Sale,-5.59,
08/19/2021,08/20/2021,SHEIN.COM,Shopping,Sale,-169.92,
08/18/2021,08/19/2021,BELLAMI HAIR LLC,Shopping,Sale,-224.69,
08/17/2021,08/17/2021,Payment Thank You-Mobile,,Payment,307.97,
08/16/2021,08/17/2021,WWW COSTCO COM,Shopping,Sale,-69.39,
08/16/2021,08/17/2021,WWW COSTCO COM,Shopping,Sale,-50.70,
08/13/2021,08/15/2021,SAMS CLUB #8155,Gas,Sale,-22.26,
08/14/2021,08/15/2021,IKEA ORLANDO,Home,Sale,-10.64,
08/14/2021,08/15/2021,COSTCO WHSE #1235,Shopping,Sale,-110.62,
08/14/2021,08/15/2021,SQ *STICKY RICE,Food & Drink,Sale,-36.35,
08/14/2021,08/15/2021,COSTCO GAS #1235,Gas,Sale,-13.52,
08/13/2021,08/13/2021,EXPEDIA 72145754498845,Travel,Sale,-665.38,
08/12/2021,08/13/2021,IRONWOOD GOLF COURSE,Entertainment,Sale,-11.00,
08/11/2021,08/12/2021,CITY OF GAINESVILLE PARK,Travel,Sale,-1.35,
08/11/2021,08/12/2021,PUBLIX #306,Groceries,Sale,-9.24,
08/10/2021,08/11/2021,AIRBNB * HMBBSFYT32,Travel,Sale,-236.10,
08/07/2021,08/09/2021,IRONWOOD GOLF COURSE,Entertainment,Sale,-11.00,
08/06/2021,08/08/2021,PUBLIX #306,Groceries,Sale,-7.05,
08/04/2021,08/04/2021,Payment Thank You - Web,,Payment,947.54,
08/03/2021,08/04/2021,Payment Thank You - Web,,Payment,826.54,
08/02/2021,08/03/2021,GAINESVILLE DENTAL ASSOCI,Health & Wellness,Sale,-121.00,
08/01/2021,08/02/2021,GEICO  *AUTO,Bills & Utilities,Sale,-701.00,
07/31/2021,08/02/2021,IRONWOOD GOLF COURSE,Entertainment,Sale,-11.00,
08/01/2021,08/01/2021,ANNUAL MEMBERSHIP FEE,Fees & Adjustments,Fee,-95.00,
08/01/2021,08/01/2021,Payment Thank You - Web,,Payment,143.99,
07/30/2021,08/01/2021,NORTHWEST SEAFOOD AT TIOG,Groceries,Sale,-19.54,
